"video_id","video_length","video_language","video_upload_date","video_quality"
2374,1760,"Cn","2014-12-06","480p"
1897,489,"Cn","2014-12-10","720p"
2386,1273,"Es","2014-12-05","480p"
2912,986,"Es","2014-12-10","240p"
2432,1050,"Other","2014-12-10","480p"
2385,377,"Cn","2014-12-12","360p"
2104,380,"En","2014-12-16","720p"
1142,988,"Other","2014-12-10","360p"
460,1226,"Other","2014-12-03","360p"
2484,1145,"Other","2014-12-02","1080p"
903,751,"Cn","2014-12-13","720p"
2072,207,"En","2014-12-18","480p"
2845,586,"Other","2014-12-03","720p"
2362,1028,"Cn","2014-12-04","720p"
849,441,"Other","2014-12-09","1080p"
2469,230,"Other","2014-12-02","720p"
879,699,"Es","2014-12-13","1080p"
2701,104,"En","2014-12-14","480p"
2021,354,"En","2014-12-03","1080p"
611,189,"Other","2014-12-18","720p"
982,726,"Es","2014-12-18","720p"
2380,1746,"Other","2014-12-07","240p"
2815,555,"Es","2014-12-17","720p"
2154,406,"Cn","2014-12-12","720p"
1565,482,"Cn","2014-12-11","360p"
2027,1640,"Other","2014-12-02","480p"
1740,785,"Cn","2014-12-02","720p"
2625,422,"Es","2014-12-19","720p"
2825,41,"Other","2014-12-18","360p"
2044,529,"Es","2014-12-15","720p"
2947,446,"Cn","2014-12-19","480p"
1325,390,"Es","2014-12-15","480p"
2580,327,"Cn","2014-12-18","480p"
23,507,"En","2014-12-15","360p"
2419,582,"Fr","2014-12-22","480p"
1358,370,"De","2014-12-12","480p"
687,816,"Other","2014-12-10","720p"
597,265,"En","2014-12-11","480p"
1575,524,"En","2014-12-12","1080p"
1943,1052,"Other","2014-12-07","480p"
328,1202,"Cn","2014-12-09","1080p"
118,1228,"Fr","2014-12-08","480p"
988,445,"En","2014-12-13","240p"
1791,337,"Es","2014-12-15","1080p"
1865,502,"Cn","2014-12-18","1080p"
1504,319,"Other","2014-12-18","1080p"
2892,784,"Cn","2014-12-11","360p"
617,370,"En","2014-12-21","480p"
1400,731,"De","2014-12-21","480p"
2513,468,"Other","2014-12-06","1080p"
384,517,"Cn","2014-12-15","480p"
2050,540,"En","2014-12-02","1080p"
2909,489,"Other","2014-12-09","1080p"
476,150,"En","2014-12-15","1080p"
2724,656,"Cn","2014-12-09","240p"
938,325,"En","2014-12-19","480p"
1176,667,"Other","2014-12-03","360p"
1974,1228,"En","2014-12-04","1080p"
1783,299,"En","2014-12-17","720p"
2581,209,"En","2014-12-13","720p"
493,1067,"Other","2014-12-03","480p"
2141,822,"Other","2014-12-11","720p"
1191,413,"Other","2014-12-02","480p"
1954,459,"Other","2014-12-15","1080p"
1287,488,"Cn","2014-12-11","720p"
2183,574,"En","2014-12-12","240p"
767,604,"Cn","2014-12-18","480p"
998,1546,"En","2014-12-03","1080p"
1131,1179,"Cn","2014-12-02","1080p"
2522,260,"Cn","2014-12-17","480p"
172,1355,"Es","2014-12-13","1080p"
2707,846,"Cn","2014-12-10","480p"
244,480,"Cn","2014-12-09","360p"
58,326,"Es","2014-12-23","720p"
2123,150,"Other","2014-12-17","480p"
1984,1227,"En","2014-12-10","480p"
872,1168,"En","2014-12-12","720p"
2485,1158,"Cn","2014-12-22","720p"
2224,219,"Cn","2014-12-15","720p"
2009,1603,"En","2014-12-06","1080p"
1378,90,"Cn","2014-12-07","360p"
1763,115,"Es","2014-12-10","240p"
1030,465,"En","2014-12-18","1080p"
556,1438,"En","2014-12-09","360p"
2175,651,"Cn","2014-12-14","1080p"
614,691,"Es","2014-12-05","720p"
2508,279,"Es","2014-12-10","1080p"
1135,807,"Cn","2014-12-10","1080p"
2525,92,"Cn","2014-12-24","1080p"
1165,56,"Cn","2014-12-15","360p"
1159,701,"Other","2014-12-08","1080p"
559,388,"En","2014-12-12","1080p"
454,902,"Cn","2014-12-11","360p"
409,601,"Other","2014-12-18","1080p"
1098,664,"Fr","2014-12-08","1080p"
2443,732,"Other","2014-12-20","1080p"
985,313,"Cn","2014-12-10","480p"
2875,532,"Cn","2014-12-10","720p"
545,673,"Es","2014-12-09","360p"
1892,846,"Es","2014-12-11","480p"
2020,471,"En","2014-12-18","480p"
585,103,"Other","2014-12-14","480p"
4,545,"En","2014-12-11","360p"
2240,1666,"En","2014-12-10","480p"
1716,398,"Other","2014-12-23","1080p"
1069,46,"Cn","2014-12-18","1080p"
1747,627,"Other","2014-12-18","480p"
630,568,"Es","2014-12-04","360p"
2165,363,"Other","2014-12-11","720p"
1726,1915,"Cn","2014-12-08","480p"
1355,1077,"En","2014-12-07","720p"
2940,225,"En","2014-12-17","720p"
1088,277,"En","2014-12-05","1080p"
1479,1244,"Other","2014-12-06","480p"
1084,479,"Es","2014-12-06","720p"
2467,426,"Fr","2014-12-03","480p"
1177,1162,"En","2014-12-10","1080p"
2454,1068,"Cn","2014-12-15","720p"
2239,525,"Other","2014-12-15","720p"
410,945,"En","2014-12-05","720p"
2839,1280,"Es","2014-12-08","480p"
2409,625,"Cn","2014-12-12","480p"
698,164,"En","2014-12-17","720p"
957,446,"Es","2014-12-24","360p"
2734,498,"En","2014-12-23","720p"
2219,1022,"Es","2014-12-18","1080p"
2435,580,"Other","2014-12-22","720p"
655,1077,"Other","2014-12-05","360p"
1717,231,"Cn","2014-12-12","720p"
1736,287,"Other","2014-12-12","1080p"
2586,817,"Other","2014-12-19","720p"
599,610,"Es","2014-12-06","720p"
263,539,"Cn","2014-12-16","720p"
2741,655,"En","2014-12-06","720p"
2414,815,"En","2014-12-14","480p"
884,839,"Other","2014-12-10","1080p"
1370,881,"En","2014-12-13","360p"
1961,1275,"Other","2014-12-05","1080p"
914,1089,"Es","2014-12-06","1080p"
1900,206,"Cn","2014-12-18","480p"
15,248,"Fr","2014-12-24","720p"
2554,790,"En","2014-12-09","720p"
64,55,"En","2014-12-21","360p"
1886,1496,"Es","2014-12-04","1080p"
291,994,"Cn","2014-12-21","1080p"
318,1095,"Cn","2014-12-06","1080p"
314,923,"Other","2014-12-03","360p"
2287,1314,"Other","2014-12-10","720p"
92,305,"Cn","2014-12-12","360p"
1934,516,"Cn","2014-12-09","720p"
367,1285,"En","2014-12-05","1080p"
2074,845,"Cn","2014-12-10","480p"
2342,606,"Cn","2014-12-09","480p"
1256,1347,"En","2014-12-13","720p"
735,372,"Cn","2014-12-04","480p"
343,296,"En","2014-12-23","360p"
1338,963,"Cn","2014-12-12","240p"
891,555,"Cn","2014-12-15","1080p"
2132,1138,"Other","2014-12-02","1080p"
981,965,"Other","2014-12-11","480p"
2854,973,"En","2014-12-06","1080p"
1698,989,"Cn","2014-12-15","480p"
2523,692,"En","2014-12-11","720p"
977,451,"De","2014-12-18","480p"
1936,742,"En","2014-12-17","480p"
697,1284,"Cn","2014-12-06","480p"
2417,668,"Cn","2014-12-18","480p"
2640,710,"En","2014-12-23","480p"
351,200,"Cn","2014-12-15","360p"
2675,556,"Cn","2014-12-06","360p"
1982,1008,"Other","2014-12-07","480p"
501,470,"Cn","2014-12-17","720p"
728,561,"En","2014-12-18","1080p"
1233,627,"En","2014-12-20","720p"
1280,728,"En","2014-12-10","720p"
103,921,"En","2014-12-10","480p"
415,670,"En","2014-12-09","360p"
864,980,"Cn","2014-12-18","1080p"
1227,1197,"Other","2014-12-02","240p"
363,822,"Cn","2014-12-13","1080p"
260,1053,"Other","2014-12-03","1080p"
245,749,"Cn","2014-12-17","360p"
1906,807,"Other","2014-12-06","1080p"
19,592,"Es","2014-12-12","1080p"
380,1837,"Other","2014-12-10","240p"
528,858,"En","2014-12-16","1080p"
778,279,"En","2014-12-09","360p"
856,801,"En","2014-12-11","1080p"
1224,212,"En","2014-12-10","720p"
1477,82,"Es","2014-12-09","1080p"
2315,770,"Cn","2014-12-11","720p"
979,506,"Es","2014-12-09","480p"
2661,900,"En","2014-12-04","720p"
818,72,"En","2014-12-09","720p"
2669,391,"De","2014-12-18","240p"
2793,392,"Cn","2014-12-20","240p"
1753,248,"Cn","2014-12-17","480p"
1850,786,"Cn","2014-12-12","480p"
1677,1121,"Other","2014-12-11","1080p"
579,717,"Cn","2014-12-17","720p"
1598,1355,"En","2014-12-15","360p"
2445,1402,"Other","2014-12-03","480p"
1152,567,"En","2014-12-17","360p"
2366,1363,"Es","2014-12-09","1080p"
1133,834,"En","2014-12-09","720p"
751,1225,"Cn","2014-12-05","240p"
1096,1077,"Other","2014-12-09","480p"
1878,1258,"En","2014-12-05","720p"
2990,97,"Cn","2014-12-15","360p"
2356,965,"En","2014-12-11","480p"
2040,514,"Cn","2014-12-12","1080p"
1335,1064,"Other","2014-12-15","360p"
180,516,"Cn","2014-12-10","720p"
231,744,"Cn","2014-12-17","480p"
2792,511,"Fr","2014-12-07","240p"
1356,512,"En","2014-12-11","480p"
2986,1017,"Cn","2014-12-18","1080p"
1457,748,"Cn","2014-12-12","240p"
1028,398,"Other","2014-12-09","720p"
854,133,"En","2014-12-15","720p"
305,1400,"En","2014-12-05","240p"
1379,1171,"Es","2014-12-18","1080p"
1971,881,"Cn","2014-12-10","1080p"
1107,240,"En","2014-12-22","720p"
1383,702,"Cn","2014-12-04","480p"
1486,388,"Es","2014-12-11","360p"
741,75,"Es","2014-12-17","480p"
236,757,"En","2014-12-03","1080p"
2410,381,"Other","2014-12-09","1080p"
166,169,"En","2014-12-17","480p"
1523,1364,"En","2014-12-03","480p"
2022,1101,"Fr","2014-12-03","1080p"
2005,41,"Es","2014-12-12","1080p"
1534,670,"En","2014-12-14","1080p"
1703,1234,"Other","2014-12-09","1080p"
259,251,"Other","2014-12-17","720p"
1977,10,"Es","2014-12-23","240p"
2551,80,"Es","2014-12-11","480p"
2819,357,"Es","2014-12-16","1080p"
378,401,"Cn","2014-12-10","720p"
27,437,"De","2014-12-09","1080p"
2910,139,"Other","2014-12-11","720p"
2818,979,"Cn","2014-12-19","1080p"
1750,737,"En","2014-12-14","1080p"
1137,407,"En","2014-12-15","480p"
1732,104,"En","2014-12-09","240p"
2254,1139,"Other","2014-12-08","360p"
2520,1481,"Other","2014-12-19","1080p"
2736,107,"Other","2014-12-13","480p"
273,1172,"En","2014-12-11","1080p"
101,260,"Other","2014-12-15","1080p"
2905,420,"En","2014-12-16","1080p"
2108,1773,"En","2014-12-05","720p"
359,722,"Cn","2014-12-24","1080p"
2243,670,"Cn","2014-12-14","1080p"
2429,630,"En","2014-12-18","240p"
2159,1577,"En","2014-12-03","480p"
933,62,"Es","2014-12-22","240p"
2149,823,"Es","2014-12-10","1080p"
2331,1367,"En","2014-12-12","1080p"
430,212,"En","2014-12-14","1080p"
2168,335,"En","2014-12-07","480p"
2849,710,"En","2014-12-02","240p"
652,664,"Cn","2014-12-10","360p"
2823,1449,"En","2014-12-09","720p"
2667,778,"Cn","2014-12-09","360p"
1636,1277,"Other","2014-12-11","720p"
2223,110,"Es","2014-12-23","1080p"
1525,616,"En","2014-12-14","720p"
1903,683,"Cn","2014-12-09","720p"
210,1098,"Cn","2014-12-21","480p"
2344,697,"Cn","2014-12-09","720p"
2328,910,"Other","2014-12-05","480p"
1986,1115,"En","2014-12-07","720p"
2453,1514,"En","2014-12-06","720p"
2194,934,"Cn","2014-12-06","240p"
432,566,"Cn","2014-12-16","1080p"
2743,423,"Other","2014-12-18","480p"
2202,194,"Other","2014-12-09","480p"
292,511,"Es","2014-12-16","1080p"
2127,814,"Cn","2014-12-07","1080p"
530,447,"En","2014-12-18","1080p"
1847,250,"Cn","2014-12-18","1080p"
1599,958,"Other","2014-12-20","360p"
2482,488,"En","2014-12-16","720p"
1268,943,"Other","2014-12-05","480p"
883,437,"Cn","2014-12-16","480p"
235,490,"Other","2014-12-14","720p"
875,440,"Cn","2014-12-10","240p"
2504,859,"Cn","2014-12-13","240p"
50,41,"En","2014-12-15","720p"
1904,1096,"En","2014-12-08","1080p"
2135,287,"En","2014-12-13","720p"
1309,295,"Cn","2014-12-19","720p"
512,567,"En","2014-12-23","1080p"
819,1414,"Es","2014-12-11","1080p"
2351,786,"Other","2014-12-12","480p"
1150,786,"Es","2014-12-17","360p"
2413,259,"Cn","2014-12-18","360p"
874,778,"Other","2014-12-09","360p"
451,833,"En","2014-12-17","480p"
1921,113,"Cn","2014-12-16","720p"
2853,1305,"Cn","2014-12-07","720p"
1772,1307,"En","2014-12-15","1080p"
1342,858,"Cn","2014-12-09","1080p"
928,1248,"Cn","2014-12-02","480p"
1188,532,"De","2014-12-17","720p"
2400,895,"En","2014-12-12","240p"
2950,426,"Cn","2014-12-03","1080p"
2980,780,"Cn","2014-12-02","1080p"
2873,55,"Cn","2014-12-09","1080p"
1923,360,"Other","2014-12-04","480p"
2798,1336,"Other","2014-12-08","1080p"
1124,597,"Es","2014-12-18","360p"
2604,1042,"Cn","2014-12-02","1080p"
978,216,"Cn","2014-12-19","1080p"
1634,194,"En","2014-12-14","480p"
704,726,"Es","2014-12-04","480p"
2657,327,"Cn","2014-12-10","360p"
2518,1417,"Es","2014-12-03","360p"
2446,859,"Es","2014-12-15","480p"
1583,1063,"Cn","2014-12-07","720p"
332,335,"En","2014-12-10","1080p"
793,1363,"Es","2014-12-03","1080p"
2395,620,"Cn","2014-12-09","360p"
942,262,"Cn","2014-12-18","480p"
2899,1131,"Es","2014-12-11","480p"
2662,92,"Es","2014-12-17","480p"
1217,708,"En","2014-12-11","480p"
1183,1121,"Cn","2014-12-04","240p"
721,597,"Fr","2014-12-09","360p"
648,1226,"Cn","2014-12-09","720p"
1061,87,"Cn","2014-12-16","1080p"
680,1095,"En","2014-12-05","360p"
2269,419,"En","2014-12-04","360p"
282,1445,"Es","2014-12-04","480p"
2810,373,"Cn","2014-12-17","360p"
1481,683,"De","2014-12-12","720p"
1296,1446,"En","2014-12-08","360p"
1774,944,"Cn","2014-12-18","720p"
463,760,"Cn","2014-12-09","360p"
622,504,"En","2014-12-16","1080p"
932,142,"En","2014-12-11","1080p"
2791,1748,"Cn","2014-12-10","720p"
1823,1599,"Other","2014-12-02","480p"
720,1084,"Other","2014-12-02","480p"
1797,687,"Cn","2014-12-08","1080p"
2881,955,"Other","2014-12-04","1080p"
2867,404,"En","2014-12-16","480p"
2689,113,"Es","2014-12-16","480p"
2280,502,"Cn","2014-12-07","480p"
964,1546,"Other","2014-12-10","1080p"
2215,64,"Cn","2014-12-09","1080p"
1563,577,"En","2014-12-19","720p"
349,313,"En","2014-12-15","1080p"
2702,446,"Fr","2014-12-21","480p"
2906,894,"En","2014-12-18","360p"
1882,561,"Other","2014-12-15","240p"
447,875,"Fr","2014-12-07","720p"
1054,76,"En","2014-12-20","720p"
1879,1335,"De","2014-12-06","480p"
2084,1182,"Cn","2014-12-05","1080p"
2683,1225,"En","2014-12-08","720p"
2333,379,"Cn","2014-12-10","480p"
2691,1689,"Other","2014-12-11","1080p"
876,311,"Cn","2014-12-24","720p"
2052,239,"Es","2014-12-13","360p"
74,1205,"De","2014-12-12","360p"
398,224,"Other","2014-12-04","480p"
609,904,"Cn","2014-12-12","240p"
297,1038,"De","2014-12-18","1080p"
2003,1746,"En","2014-12-07","1080p"
2261,384,"Cn","2014-12-21","1080p"
1600,59,"Es","2014-12-13","240p"
2685,145,"Cn","2014-12-13","1080p"
1312,1248,"En","2014-12-05","1080p"
2737,97,"En","2014-12-20","720p"
1024,1108,"Cn","2014-12-10","360p"
764,838,"Other","2014-12-08","240p"
2221,1391,"Other","2014-12-09","1080p"
685,302,"Cn","2014-12-23","720p"
2814,23,"Cn","2014-12-17","480p"
2645,52,"Cn","2014-12-13","720p"
1241,88,"Cn","2014-12-20","360p"
268,461,"Other","2014-12-10","360p"
2918,1108,"Es","2014-12-03","720p"
602,624,"Cn","2014-12-16","360p"
2666,695,"En","2014-12-09","720p"
2273,1303,"Other","2014-12-03","360p"
22,423,"En","2014-12-13","720p"
2037,530,"En","2014-12-11","240p"
1544,377,"Cn","2014-12-03","480p"
904,377,"Es","2014-12-17","240p"
360,895,"Cn","2014-12-13","1080p"
948,117,"En","2014-12-17","1080p"
207,1274,"En","2014-12-09","1080p"
520,400,"En","2014-12-13","1080p"
575,251,"Es","2014-12-21","1080p"
2059,859,"Cn","2014-12-10","480p"
1007,1248,"Cn","2014-12-09","240p"
1505,1156,"Es","2014-12-05","1080p"
1808,622,"Other","2014-12-13","480p"
2590,1224,"Cn","2014-12-15","1080p"
1057,629,"Cn","2014-12-18","480p"
1375,709,"Cn","2014-12-24","720p"
1139,180,"Fr","2014-12-10","720p"
1972,104,"En","2014-12-11","1080p"
1363,1082,"Cn","2014-12-11","720p"
1029,75,"Cn","2014-12-14","360p"
2920,56,"Cn","2014-12-11","480p"
223,627,"Other","2014-12-22","360p"
1649,1203,"Cn","2014-12-13","480p"
782,530,"Other","2014-12-10","720p"
829,671,"En","2014-12-10","720p"
1955,608,"Cn","2014-12-16","1080p"
1610,404,"En","2014-12-13","1080p"
1856,1044,"Other","2014-12-11","720p"
226,724,"Other","2014-12-08","240p"
2071,1153,"Other","2014-12-09","480p"
1500,377,"Other","2014-12-08","1080p"
2783,910,"Cn","2014-12-15","240p"
1983,191,"Other","2014-12-11","360p"
2641,585,"Cn","2014-12-15","1080p"
287,1203,"Cn","2014-12-11","240p"
1834,550,"Cn","2014-12-13","1080p"
413,1017,"Es","2014-12-04","720p"
2399,1096,"Cn","2014-12-13","720p"
1078,262,"Cn","2014-12-14","240p"
2996,556,"Es","2014-12-02","480p"
1062,577,"En","2014-12-23","1080p"
1120,1131,"Es","2014-12-11","360p"
1511,1411,"Other","2014-12-04","1080p"
1337,1308,"Fr","2014-12-09","1080p"
1431,501,"En","2014-12-13","360p"
2606,186,"Cn","2014-12-13","360p"
2529,439,"En","2014-12-17","240p"
2908,240,"En","2014-12-19","720p"
2929,999,"Cn","2014-12-08","1080p"
1540,869,"Fr","2014-12-05","1080p"
623,485,"Other","2014-12-10","480p"
540,438,"Es","2014-12-19","720p"
1155,785,"Cn","2014-12-14","360p"
1586,544,"Es","2014-12-12","240p"
2841,602,"Cn","2014-12-13","480p"
1482,1257,"En","2014-12-05","480p"
1794,980,"En","2014-12-08","1080p"
1097,709,"Es","2014-12-10","720p"
82,324,"En","2014-12-21","1080p"
1308,379,"En","2014-12-14","1080p"
862,388,"Cn","2014-12-14","1080p"
1435,790,"En","2014-12-17","1080p"
580,1292,"En","2014-12-11","480p"
1665,1070,"En","2014-12-06","480p"
1628,1275,"En","2014-12-09","720p"
913,145,"Cn","2014-12-15","1080p"
1439,703,"Other","2014-12-03","360p"
154,1603,"En","2014-12-10","1080p"
2336,943,"Es","2014-12-17","1080p"
893,561,"Other","2014-12-24","1080p"
1963,878,"Cn","2014-12-17","480p"
1229,1335,"En","2014-12-09","480p"
2733,1445,"En","2014-12-10","480p"
216,846,"Cn","2014-12-15","480p"
479,710,"En","2014-12-10","1080p"
191,518,"Other","2014-12-22","1080p"
2335,30,"En","2014-12-18","720p"
2348,1328,"En","2014-12-05","1080p"
93,126,"Fr","2014-12-22","360p"
2656,623,"Es","2014-12-11","1080p"
298,697,"Es","2014-12-10","720p"
1683,523,"En","2014-12-21","1080p"
2329,282,"Other","2014-12-20","720p"
2506,873,"Other","2014-12-10","720p"
1480,482,"Cn","2014-12-16","1080p"
336,419,"En","2014-12-15","720p"
2065,745,"De","2014-12-11","720p"
508,135,"Other","2014-12-10","720p"
117,291,"En","2014-12-17","360p"
2598,485,"Es","2014-12-17","1080p"
2463,1215,"Cn","2014-12-06","480p"
1099,318,"En","2014-12-10","480p"
2407,821,"Fr","2014-12-24","360p"
639,517,"De","2014-12-05","240p"
689,1481,"En","2014-12-22","720p"
1059,472,"En","2014-12-24","720p"
1503,915,"En","2014-12-14","1080p"
2148,420,"Cn","2014-12-23","1080p"
770,1249,"En","2014-12-06","480p"
845,703,"En","2014-12-11","480p"
509,700,"Cn","2014-12-22","360p"
2609,1022,"Cn","2014-12-21","720p"
2032,1028,"Other","2014-12-09","720p"
2955,488,"En","2014-12-11","1080p"
112,863,"En","2014-12-19","1080p"
606,627,"Fr","2014-12-07","480p"
1964,1168,"Cn","2014-12-10","240p"
1588,1606,"Other","2014-12-10","240p"
2367,489,"Cn","2014-12-12","1080p"
1222,951,"En","2014-12-11","480p"
315,166,"Other","2014-12-11","720p"
335,278,"Es","2014-12-17","1080p"
2100,670,"Other","2014-12-18","720p"
1448,506,"Other","2014-12-04","720p"
2528,369,"Cn","2014-12-09","480p"
2593,207,"Cn","2014-12-18","720p"
1694,684,"Es","2014-12-03","240p"
2190,1051,"En","2014-12-19","720p"
303,1070,"En","2014-12-06","720p"
76,245,"Cn","2014-12-05","720p"
541,135,"Cn","2014-12-14","720p"
1413,494,"Cn","2014-12-10","360p"
1407,166,"Other","2014-12-17","240p"
2207,1734,"Es","2014-12-03","240p"
1350,568,"Other","2014-12-05","480p"
42,357,"Other","2014-12-10","240p"
1933,1018,"Cn","2014-12-10","480p"
665,472,"En","2014-12-24","240p"
1384,185,"Es","2014-12-12","1080p"
1803,1213,"Other","2014-12-08","1080p"
1911,1229,"Cn","2014-12-03","1080p"
1297,544,"Cn","2014-12-15","720p"
2390,733,"Cn","2014-12-20","720p"
1305,24,"En","2014-12-16","1080p"
1952,197,"En","2014-12-08","720p"
537,294,"Es","2014-12-18","720p"
944,598,"Other","2014-12-11","720p"
898,480,"En","2014-12-21","360p"
2602,416,"En","2014-12-05","720p"
334,393,"En","2014-12-12","1080p"
594,610,"Other","2014-12-17","360p"
1866,1332,"Fr","2014-12-03","240p"
2886,701,"En","2014-12-09","1080p"
960,1127,"En","2014-12-11","1080p"
67,936,"Cn","2014-12-23","240p"
312,432,"En","2014-12-12","720p"
2182,671,"Cn","2014-12-15","480p"
1467,778,"Other","2014-12-14","720p"
2066,760,"Other","2014-12-03","480p"
2424,176,"Other","2014-12-17","480p"
799,1067,"En","2014-12-12","480p"
2964,672,"En","2014-12-18","720p"
1026,691,"Cn","2014-12-24","720p"
232,1071,"Other","2014-12-17","1080p"
1415,198,"Es","2014-12-18","720p"
2382,891,"Cn","2014-12-12","1080p"
1017,293,"Es","2014-12-23","720p"
2847,567,"Fr","2014-12-15","480p"
381,722,"Es","2014-12-03","720p"
1969,251,"En","2014-12-15","240p"
2851,1211,"En","2014-12-04","1080p"
2902,504,"En","2014-12-15","360p"
127,651,"En","2014-12-12","1080p"
2393,131,"Es","2014-12-11","720p"
800,365,"Other","2014-12-23","720p"
558,61,"Cn","2014-12-22","240p"
